gene	score	normalized_score
KCTD17	66.21897261899694	88.14737014360384
SLC25A20	66.21897261899694	88.14737014360384
CHRNB1	66.21764536899694	88.14560337507216
FERMT1	66.21151039899694	88.13743681117026
RPS15A	66.21151039899694	88.13743681117026
MKRN3-AS1	66.21151039899694	88.13743681117026
RBM10	66.20820686899694	88.13303931797198
FKBP14	66.20075614899693	88.12312129376075
DARS1	66.19069146899693	88.10972369729785
TANGO2	66.18871518899694	88.10709297263124
CAMKMT	66.17307928899695	88.08627924794908
FBLN5	66.17175203899694	88.0845124794174
PHGDH	66.16700878899694	88.07819850327283
ITGA6	65.84441310999694	87.64877533950445
GUCY2D	65.84441310999694	87.64877533950445
NUBPL	65.84308585999693	87.64700857097279
SOX3	65.83259653899694	87.63304571374059
OSMR	65.83126928899694	87.63127894520892
COG1	65.83126928899694	87.63127894520892
IL1RN	65.80951054799694	87.60231480214041
RP1	65.80951054799694	87.60231480214041
FASTKD2	65.80714647799694	87.59916787090465
RBP3	65.80384294799694	87.59477037770634
VAX1	65.80147887799694	87.59162344647058
CNPY3	65.80079347699694	87.59071107508736
CTSA	65.77211826799694	87.55254007723435
SMARCD2	65.77147641899694	87.55168568008588
PORCN	65.76582313799695	87.54416031638537
LONP1	65.75652625799695	87.53178477671557
TBX15	65.74994403799695	87.52302285607925
GLUD2	65.74121675799695	87.51140553931819
TBL1XR1	65.74121675799695	87.51140553931819
NDUFB11	65.72978850799694	87.49619282696398
EBF3	65.71692287799694	87.47906674655395
MYOD1	65.69563788699695	87.45073323568882
EIF2B2	65.69563788699695	87.45073323568882
CACNG2	65.68603278799695	87.43794741036818
LMAN2L	65.68603278799695	87.43794741036818
DNMT1	65.63803919799696	87.37406075409837
DNAL1	65.63803919799696	87.37406075409837
SOX9	65.63803919799696	87.37406075409837
PHF21A	65.63427979799695	87.3690564296546
IBA57	65.62730282799696	87.35976903764674
MYRF	65.62666097899695	87.35891464049827
CACNA1G	65.62404284999695	87.35542951868321
HSD3B2	65.61510030699695	87.34352565462929
IMPA1	65.61510030699695	87.34352565462929
ZIC3	65.61510030699695	87.34352565462929
FAH	65.61510030699695	87.34352565462929
TH	65.61510030699695	87.34352565462929
PCGF2	65.59731642699695	87.31985264686504
TRIM2	65.58347312599696	87.30142513992868
NDUFV2	65.56736802599696	87.27998683977461
USP18	65.56604077599695	87.27822007124293
RIT1	65.56539892699695	87.27736567409448
